track_name,album_name,valence,energy,data_type
Red (Original Demo Recording),Red,0.637,0.902,ACTUAL
State Of Grace (Acoustic Version),Red,0.0682,0.118,ACTUAL
State Of Grace (Taylor's Version),Red (Taylor's Version),0.328,0.713,ACTUAL
Red (Taylor's Version),Red (Taylor's Version),0.408,0.777,ACTUAL
Treacherous (Taylor's Version),Red (Taylor's Version),0.299,0.593,ACTUAL
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),0.767,0.557,ACTUAL
All Too Well (Taylor's Version),Red (Taylor's Version),0.132,0.528,ACTUAL
22 (Taylor's Version),Red (Taylor's Version),0.642,0.695,ACTUAL
I Almost Do (Taylor's Version),Red (Taylor's Version),0.248,0.559,ACTUAL
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),0.716,0.686,ACTUAL
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),0.663,0.681,ACTUAL
The Last Time (Taylor's Version),Red (Taylor's Version),0.155,0.534,ACTUAL
Holy Ground (Taylor's Version),Red (Taylor's Version),0.511,0.809,ACTUAL
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),0.232,0.406,ACTUAL
The Lucky One (Taylor's Version),Red (Taylor's Version),0.538,0.571,ACTUAL
Everything Has Changed (Taylor's Version),Red (Taylor's Version),0.474,0.61,ACTUAL
Starlight (Taylor's Version),Red (Taylor's Version),0.605,0.685,ACTUAL
Begin Again (Taylor's Version),Red (Taylor's Version),0.267,0.527,ACTUAL
The Moment I Knew (Taylor's Version),Red (Taylor's Version),0.208,0.402,ACTUAL
Come Back...Be Here (Taylor's Version),Red (Taylor's Version),0.399,0.632,ACTUAL
Girl At Home (Taylor's Version),Red (Taylor's Version),0.612,0.736,ACTUAL
State Of Grace (Acoustic Version) [Taylor's Version],Red (Taylor's Version),0.101,0.131,ACTUAL
Ronan (Taylor's Version),Red (Taylor's Version),0.38,0.279,ACTUAL
Better Man (Taylor's Version) [From The Vault],Red (Taylor's Version),0.255,0.579,ACTUAL
Nothing New (Taylor's Version) [From The Vault],Red (Taylor's Version),0.446,0.377,ACTUAL
Babe (Taylor's Version) [From The Vault],Red (Taylor's Version),0.746,0.743,ACTUAL
Message In A Bottle (Taylor's Version) [From The Vault],Red (Taylor's Version),0.494,0.791,ACTUAL
I Bet You Think About Me (Taylor's Version) [From The Vault],Red (Taylor's Version),0.473,0.715,ACTUAL
Forever Winter (Taylor's Version) [From The Vault],Red (Taylor's Version),0.41,0.552,ACTUAL
Run (Taylor's Version) [From The Vault],Red (Taylor's Version),0.443,0.488,ACTUAL
The Very First Night (Taylor's Version) [From The Vault],Red (Taylor's Version),0.581,0.733,ACTUAL
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Red (Taylor's Version),0.205,0.518,ACTUAL
Welcome To New York,1989,0.658,0.634,ACTUAL
Blank Space,1989,0.57,0.703,ACTUAL
Style,1989,0.487,0.791,ACTUAL
